,Drug_ID,Drug,Y
0,247.0,C[N+](C)(C)CC(=O)[O-],0.0
1,298.0,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0.0
2,338.0,O=C(O)c1ccccc1O,0.0
3,444.0,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.0
4,681.0,NCCc1ccc(O)c(O)c1,0.0
5,892.0,OC1C(O)C(O)C(O)C(O)C1O,0.0
6,978.0,Nc1ccc(C(=O)O)cc1,0.0
7,988.0,CC(C)(CO)C(O)C(=O)NCCC(=O)O,0.0
8,1046.0,NC(=O)c1cnccn1,1.0
9,1130.0,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0.0
10,1674.0,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,1.0
11,1935.0,Nc1c2c(nc3ccccc13)CCCC2,0.0
12,1986.0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1.0
13,1989.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.0
14,2082.0,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1.0
15,2088.0,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0.0
16,2094.0,O=c1ncnc2[nH][nH]cc1-2,1.0
17,2130.0,NC12CC3CC(CC(C3)C1)C2,0.0
18,2140.0,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0.0
19,2145.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,0.0
20,2160.0,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0.0
21,2179.0,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,1.0
22,2244.0,CC(=O)Oc1ccccc1C(=O)O,0.0
23,2247.0,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0.0
24,2249.0,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.0
25,2265.0,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,1.0
26,2333.0,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,1.0
27,2341.0,CC(Cc1ccccc1)N(C)Cc1ccccc1,0.0
28,2381.0,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0.0
29,2406.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,1.0
30,2471.0,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,1.0
31,2474.0,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,0.0
32,2477.0,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0.0
33,2478.0,CS(=O)(=O)OCCCCOS(C)(=O)=O,1.0
34,2520.0,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,1.0
35,2554.0,NC(=O)N1c2ccccc2C=Cc2ccccc21,1.0
36,2562.0,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,0.0
37,2564.0,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,0.0
38,2576.0,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0.0
39,2610.0,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,1.0
40,2710.0,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.0
41,2717.0,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,1.0
42,2725.0,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,0.0
43,2727.0,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1.0
44,2733.0,O=c1[nH]c2cc(Cl)ccc2o1,1.0
45,2749.0,Cc1cc(C2CCCCC2)n(O)c(=O)c1,0.0
46,2764.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1.0
47,2803.0,Clc1cccc(Cl)c1NC1=NCCN1,1.0
48,2818.0,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,1.0
49,2898.0,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,1.0
50,2913.0,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,1.0
51,2952.0,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,1.0
52,2973.0,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0.0
53,3042.0,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,0.0
54,3152.0,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0.0
55,3162.0,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0.0
56,3202.0,CC[N+](C)(C)c1cccc(O)c1,0.0
57,3305.0,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0
58,3308.0,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,1.0
59,3330.0,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1,1.0
60,3339.0,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,1.0
61,3345.0,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0.0
62,3351.0,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,1.0
63,3354.0,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,0.0
64,3366.0,Nc1[nH]c(=O)ncc1F,1.0
65,3385.0,O=c1[nH]cc(F)c(=O)[nH]1,1.0
66,3386.0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0.0
67,3394.0,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,1.0
68,3397.0,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,1.0
69,3404.0,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,0.0
