,Drug_ID,Drug,Y
0,Acetanilide,CC(=O)Nc1ccccc1,1
1,Acetazolamide.mol,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1
2,Aminopyrine,Cc1c(N(C)C)c(=N)n(-c2ccccc2)n1C,1
3,Amosulalol.mol,COc1ccccc1OCCNC[C@@H](O)c1ccc(C)cc1S(N)(=O)=O,1
4,Bendroflumethiazide.mol,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@H](Cc1ccccc1)NS2(=O)=O,1
5,Biperiden.mol,O[C@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@H]2C=C[C@H]1C2,1
6,Bornaprine,CCN(CC)CCCOC(=O)[C@@]1(c2ccccc2)C[C@@H]2CC[C@@H]1C2,1
7,Budesonide.mol,CCC[C@@H]1O[C@@H]2C[C@@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1
8,Camazepam,CN(C)C(=O)O[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,1
9,Carbamazepine.mol,NC(=O)N1c2ccccc2C=Cc2ccccc21,1
10,Carmustine,O=NN(CCCl)C(=O)NCCCl,1
11,Chloral_hydrate,OC(O)C(Cl)(Cl)Cl,1
12,Chloroquine.mol,CCN(CC)CCCCN(C)c1ccnc2cc(Cl)ccc12,1
13,Chlorphenesin,OC[C@H](O)COc1ccc(Cl)cc1,1
14,Cicaprost.mol,CCC#CC[C@H](C)[C@@H](O)C#C[C@H]1[C@@H](O)C[C@H]2C/C(=C/COCC(=O)O)C[C@H]12,1
15,Citalopram.mol,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1
16,Corticosterone,C[C@@]12CCC(=O)C=C1CC[C@H]1[C@H]2[C@H](O)C[C@@]2(C)[C@@H](C(=O)CO)CC[C@H]12,1
17,Coumarin.mol,O=c1ccc2ccccc2o1,1
18,Cyclopenthiazide.mol,NS(=O)(=O)c1cc2c(cc1Cl)N[C@H](CN1CCCC1)NS2(=O)=O,1
19,Diacetylmorphine.mol,CC(=O)Oc1ccc2c3c1O[C@H]1[C@H](OC(C)=O)C=C[C@H]4[C@H](C2)N(C)CCC[C@@]341,1
20,Dicyclomine,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,1
21,Ergotamine.mol,CN1C[C@@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@@H]21,1
22,Ethinyl_Estradiol.mol,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]3CC[C@@]21C,1
23,Ethyl_alcohol,CCO,1
24,Ethynodiol_diacetate,C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@@H]3CC[C@@]21C,1
25,Fenclofenac,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,1
26,Flucytosine.mol,Nc1nc(=O)[nH]cc1F,1
27,Fusidic_acid.mol,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)O,1
28,Gemfibrozil.mol,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1
29,Genaconazole.mol,C[C@@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,1
